App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 12:45:21 AM","56 min 47 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
11029,1,11124,1580604,11129,35,11124,1600000,
11129,1,11224,1582836,11240,38,11224,1600000,
11240,1,11325,1583084,11338,35,11326,1600000,
11338,1,11425,1584108,11437,39,11426,1400000,
11438,1,11525,1576792,11548,77,11527,1600000,
11548,1,11625,1577784,11637,46,11626,1600000,
11637,1,11726,1580124,11737,39,11726,1400000,
11738,1,11826,1581612,11847,33,11827,1600000,
11847,1,11926,1578884,11931,17,11927,1400000,
11931,1,12028,1579008,12034,14,12029,1400000,
12034,1,12127,1575536,12144,4,12128,1400000,
12145,1,12228,1575536,12232,7,12228,1400000,
12232,1,12328,1579256,12333,17,12328,1400000,
12333,1,12428,1579256,12445,3,12429,1400000,
12445,1,12531,1579256,12540,6,12533,1400000,
12540,1,12629,1579132,12633,4,12629,1400000,
12634,1,12729,1579148,12745,6,12729,1400000,
12746,1,12829,1582744,12835,16,12830,1400000,
12836,1,12929,1582744,12934,4,12930,1400000,
12934,1,13030,1582744,13046,6,13030,1400000,
13047,1,13130,1582744,13136,6,13130,1400000,
13136,1,13230,1582744,13235,8,13231,1400000,
13235,1,13330,1586340,13347,7,13331,1400000,
13348,1,13431,1586340,13436,4,13431,1400000,
13437,1,13531,1586340,13536,14,13531,1400000,
13536,1,13631,1586340,13647,4,13632,1400000,
13648,1,13731,1586340,13737,8,13732,1400000,
13737,1,13832,1586340,13836,4,13832,1400000,
13837,1,13932,1586340,13949,1,13932,1400000,
13950,1,14032,1586340,14038,6,14033,1400000,
14038,1,14132,1586340,14137,2,14133,1400000,
14137,1,14232,1586340,14249,5,14233,1400000,
14249,1,14333,1586340,14338,4,14333,1400000,
14339,1,14433,1586464,14440,8,14433,1400000,
14441,1,14533,1586464,14550,4,14534,1400000,
14550,1,14633,1586464,14639,6,14634,1400000,
14639,1,14734,1586448,14738,8,14734,1400000,
14738,1,14834,1586432,14850,8,14834,1400000,
14850,1,14934,1586432,14940,4,14934,1400000,
14941,1,15034,1586432,15039,10,15035,1400000,
15039,1,15134,1586432,15152,2,15135,1400000,
15152,1,15235,1586432,15240,8,15235,1400000,
15241,1,15335,1586432,15342,10,15336,1400000,
15343,1,15435,1586432,15453,2,15436,1400000,
15454,1,15535,1586432,15540,6,15536,1400000,
15540,1,15636,1586432,15640,10,15636,1400000,
15640,1,15736,1586432,15752,1,15736,1400000,
15752,1,15836,1586432,15842,8,15837,1400000,
15842,1,15937,1586432,15941,6,15937,1400000,
15941,1,16037,1586556,16053,0,16037,1400000,
16053,1,16137,1586556,16143,6,16138,1400000,
16143,1,16237,1586556,16242,2,16238,1400000,
16242,1,16338,1586556,16356,4,16338,1400000,
16357,1,16438,1586556,16442,11,16438,1400000,
16443,1,16538,1586556,16543,4,16539,1400000,
16543,1,16638,1586604,16657,6,16639,1400000,
16657,1,16739,1586556,16743,4,16739,1400000,
16743,1,16839,1586556,16843,10,16839,1400000,
16844,1,16939,1586556,16955,2,16940,1400000,
16956,1,17039,1586556,17044,6,17040,1400000,
17044,1,17140,1586556,17144,8,17140,1600000,
17144,1,17240,1586556,17258,7,17240,1400000,
17258,1,17340,1586556,17347,9,17341,1400000,
17347,1,17440,1586556,17445,6,17441,1400000,
17445,1,17541,1586308,17555,2,17541,1600000,
17556,1,17641,1586308,17647,9,17641,1400000,
17647,1,17741,1586308,17746,6,17742,1400000,
17746,1,17842,1586308,17858,4,17842,1400000,
17858,1,17942,1586308,17947,4,17942,1400000,
17948,1,18042,1586308,18046,6,18042,1600000,
18046,1,18142,1586308,18159,2,18143,1400000,
18160,1,18242,1586308,18248,8,18243,1400000,
18248,1,18343,1586308,18347,10,18343,1400000,
18347,1,18443,1586308,18459,6,18443,1400000,
18460,1,18543,1586308,18549,6,18544,1400000,
18549,1,18643,1586260,18648,4,18644,1400000,
18648,1,18744,1586260,18760,7,18744,1400000,
18760,1,18844,1586308,18850,8,18844,1400000,
18850,1,18944,1586308,18949,4,18945,1400000,
18949,1,19045,1586308,19062,4,19045,1400000,
19063,1,19145,1586308,19150,8,19145,1400000,
19151,1,19245,1586308,19250,8,19246,1400000,
19250,1,19345,1586308,19360,0,19346,1600000,
19360,1,19446,1586308,19451,6,19446,1400000,
19452,1,19546,1586308,19550,8,19546,1400000,
19551,1,19646,1586260,19668,4,19646,1400000,
19668,1,19746,1586308,19750,9,19747,1400000,
19751,1,19846,1586308,19863,4,19847,1400000,
19863,1,19947,1586308,19956,8,19948,1400000,
19956,1,20047,1586308,20051,4,20047,1400000,
20052,1,20147,1586308,20165,4,20148,1400000,
20165,1,20247,1586308,20253,8,20248,1400000,
20253,1,20348,1586432,20352,4,20348,1400000,
20352,1,20448,1586432,20464,4,20448,1400000,
20465,1,20548,1586432,20554,8,20549,1400000,
20554,1,20648,1586384,20653,6,20649,1400000,
20653,1,20749,1586384,20766,3,20749,1400000,
20766,1,20849,1586432,20855,5,20849,1400000,
20855,1,20949,1586556,20954,8,20950,1400000,
20954,1,21051,1586556,21069,1,21051,1400000,
21069,1,21150,1586556,21161,10,21150,1400000,
21161,1,21250,1586556,21254,10,21250,1400000,
21255,1,21350,1586556,21368,8,21351,1400000,
21368,1,21451,1586432,21456,4,21451,1400000,
21456,1,21551,1586432,21555,5,21551,1400000,
21555,1,21651,1586432,21668,0,21651,1400000,
21669,1,21751,1586432,21758,8,21752,1400000,
21758,1,21852,1586432,21859,6,21853,1400000,
21859,1,21953,1586432,21970,1,21953,1400000,
21971,1,22053,1586432,22058,10,22053,1400000,
22059,1,22153,1586432,22157,10,22154,1400000,
22158,1,22253,1586432,22269,2,22254,1400000,
22270,1,22354,1586432,22359,4,22354,1400000,
22360,1,22454,1586432,22459,6,22454,1400000,
22459,1,22554,1586432,22571,1,22555,1400000,
22571,1,22654,1586384,22660,6,22655,1400000,
22660,1,22755,1586432,22759,8,22755,1400000,
22759,1,22856,1586432,22874,2,22856,1400000,
22875,1,22955,1586432,22961,8,22956,1400000,
22962,1,23056,1586432,23060,9,23056,1400000,
23060,1,23156,1586432,23173,2,23156,1400000,
23173,1,23256,1586432,23261,9,23256,1400000,
23262,1,23356,1586432,23360,5,23357,1400000,
23361,1,23456,1586432,23473,1,23457,1400000,
23473,1,23557,1586432,23562,6,23557,1400000,
23562,1,23657,1586384,23663,6,23657,1400000,
23664,1,23757,1586440,23776,7,23758,1400000,
23776,1,23857,1586440,23863,5,23858,1400000,
23863,1,23958,1586440,23962,4,23958,1400000,
23962,1,24058,1586316,24074,4,24058,1400000,
24075,1,24158,1586316,24164,8,24158,1400000,
24164,1,24258,1586316,24263,4,24259,1400000,
24263,1,24359,1586316,24376,3,24359,1400000,
24376,1,24459,1586316,24464,4,24459,1400000,
24465,1,24559,1586316,24563,10,24559,1400000,
24564,1,24659,1586268,24678,2,24660,1400000,
24678,1,24759,1586308,24765,4,24760,1400000,
24765,1,24860,1586308,24864,8,24860,1400000,
24864,1,24960,1586308,24978,3,24961,1400000,
24978,1,25060,1586308,25066,8,25061,1400000,
25066,1,25161,1586308,25165,6,25161,1400000,
25165,1,25261,1586432,25277,3,25261,1400000,
25278,1,25361,1586556,25367,8,25361,1400000,
25367,1,25461,1586556,25466,4,25462,1400000,
25466,1,25562,1586556,25580,1,25562,1400000,
25580,1,25662,1586556,25667,8,25662,1400000,
25668,1,25762,1586556,25767,5,25763,1400000,
25767,1,25862,1586556,25879,6,25863,1400000,
25879,1,25963,1586556,25968,6,25963,1400000,
25969,1,26063,1586432,26067,6,26063,1400000,
26068,1,26163,1586432,26181,6,26164,1400000,
26181,1,26264,1586432,26270,2,26264,1400000,
26270,1,26364,1586432,26369,6,26364,1400000,
26369,1,26464,1586432,26484,4,26465,1400000,
26484,1,26564,1586432,26568,7,26564,1600000,
26568,1,26664,1586480,26669,8,26665,1400000,
26669,1,26765,1586432,26782,2,26765,1400000,
26782,1,26865,1586432,26869,10,26865,1400000,
26869,1,26965,1586432,26970,4,26966,1400000,
26970,1,27065,1586432,27082,4,27066,1400000,
27082,1,27166,1586432,27170,6,27166,1400000,
27170,1,27266,1586432,27270,8,27266,1400000,
27270,1,27366,1586432,27388,1,27367,1400000,
27388,1,27466,1586432,27472,5,27467,1400000,
27472,1,27567,1586432,27571,8,27567,1400000,
27571,1,27667,1586384,27684,1,27667,1400000,
27684,1,27767,1586432,27772,7,27767,1600000,
27772,1,27867,1586432,27872,6,27868,1400000,
27872,1,27967,1586432,27984,6,27968,1400000,
27984,1,28068,1586308,28073,2,28068,1400000,
28074,1,28168,1586308,28172,7,28168,1400000,
28172,1,28268,1586308,28285,4,28268,1400000,
28285,1,28368,1586308,28377,6,28369,1400000,
28377,1,28469,1586308,28473,6,28469,1400000,
28473,1,28569,1586308,28585,4,28569,1400000,
28586,1,28669,1586260,28674,4,28669,1600000,
28674,1,28769,1586260,28774,8,28770,1400000,
28774,1,28869,1586308,28887,3,28870,1400000,
28888,1,28970,1586308,28975,6,28970,1400000,
28976,1,29070,1586308,29074,6,29070,1400000,
29074,1,29170,1586308,29187,4,29171,1400000,
29187,1,29271,1586308,29278,6,29271,1400000,
29278,1,29371,1586308,29375,6,29371,1400000,
29375,1,29471,1586308,29487,2,29471,1400000,
29488,1,29571,1586308,29581,9,29571,1600000,
29582,1,29671,1586480,29676,0,29672,1400000,
29676,1,29771,1586432,29789,3,29772,1400000,
29789,1,29872,1586432,29877,8,29872,1400000,
29878,1,29972,1586432,29976,4,29972,1400000,
29977,1,30072,1586432,30089,0,30073,1400000,
30089,1,30173,1586432,30183,6,30176,1400000,
30183,1,30273,1586432,30277,2,30273,1400000,
30277,1,30373,1586432,30392,7,30374,1400000,
30392,1,30473,1586432,30479,11,30474,1400000,
30479,1,30574,1586432,30578,6,30574,1400000,
30578,1,30674,1586480,30690,6,30674,1400000,
30691,1,30774,1586432,30780,8,30775,1400000,
30780,1,30874,1586432,30879,6,30875,1400000,
30879,1,30975,1586432,30992,6,30975,1400000,
30992,1,31075,1586432,31084,6,31076,1400000,
31084,1,31175,1586432,31180,11,31176,1400000,
31180,1,31276,1586556,31292,2,31276,1400000,
31293,1,31376,1586556,31382,5,31376,1400000,
31382,1,31476,1586556,31480,9,31476,1400000,
31481,1,31576,1586556,31594,4,31577,1400000,
31594,1,31677,1586580,31683,10,31677,1400000,
31683,1,31780,1586556,31785,7,31780,1400000,
31785,1,31877,1586556,31895,2,31878,1400000,
31895,1,31977,1586432,31985,6,31978,1400000,
31985,1,32078,1586432,32082,8,32078,1400000,
32082,1,32178,1586432,32195,4,32178,1400000,
32196,1,32278,1586308,32283,9,32279,1400000,
32283,1,32378,1586308,32383,4,32379,1400000,
32383,1,32479,1586308,32495,1,32479,1400000,
32496,1,32579,1586308,32583,8,32579,1400000,
32583,1,32679,1586356,32684,4,32680,1400000,
32684,1,32779,1586308,32797,4,32780,1400000,
32798,1,32880,1586308,32884,6,32880,1400000,
32884,1,32980,1586308,32984,4,32980,1400000,
32985,1,33080,1586308,33098,6,33081,1400000,
33098,1,33180,1586308,33185,6,33181,1400000,
33185,1,33281,1586308,33285,5,33281,1400000,
33285,1,33381,1586308,33399,3,33381,1400000,
33399,1,33481,1586308,33486,9,33482,1400000,
33486,1,33582,1586308,33587,6,33582,1400000,
33587,1,33682,1586356,33699,2,33682,1400000,
33699,1,33782,1586308,33786,10,33783,1400000,
33787,1,33882,1586432,33887,6,33883,1400000,
33887,1,33983,1586432,33999,4,33983,1400000,
34000,1,34083,1586432,34089,6,34083,1400000,
34089,1,34183,1586432,34188,8,34184,1400000,
34188,1,34284,1586432,34301,2,34284,1400000,
34301,1,34384,1586432,34390,6,34384,1400000,
34390,1,34484,1586432,34489,6,34485,1400000,
34489,1,34584,1586308,34603,3,34585,1400000,
34603,1,34685,1586308,34690,2,34685,1400000,
34691,1,34785,1586308,34789,10,34785,1400000,
34790,1,34885,1586308,34902,4,34886,1400000,
34902,1,34986,1586308,34991,4,34986,1400000,
34992,1,35086,1586308,35090,8,35086,1400000,
35090,1,35186,1586308,35203,3,35187,1400000,
35203,1,35286,1586308,35292,6,35287,1400000,
35292,1,35387,1586308,35391,4,35387,1400000,
35391,1,35487,1586308,35506,7,35487,1400000,
35506,1,35587,1586308,35593,8,35588,1400000,
35593,1,35688,1586308,35692,6,35688,1400000,
35692,1,35788,1586308,35804,2,35788,1400000,
35804,1,35888,1586308,35894,8,35889,1400000,
35894,1,35988,1586308,35993,11,35989,1400000,
35993,1,36089,1586308,36105,4,36089,1400000,
36105,1,36189,1586308,36195,8,36189,1400000,
36195,1,36289,1586308,36294,4,36290,1400000,
36294,1,36389,1586308,36407,6,36390,1400000,
36407,1,36490,1586308,36495,10,36490,1400000,
36496,1,36590,1586432,36594,8,36590,1400000,
36595,1,36690,1586432,36707,0,36691,1400000,
36707,1,36791,1586432,36796,6,36791,1400000,
36797,1,36891,1586432,36895,11,36891,1400000,
36896,1,36991,1586556,37008,0,36992,1400000,
37008,1,37091,1586556,37097,8,37092,1400000,
37097,1,37193,1586556,37198,4,37193,1400000,
37198,1,37293,1586556,37311,4,37293,1400000,
37311,1,37393,1586556,37399,9,37393,1400000,
37399,1,37493,1586556,37498,6,37494,1400000,
37498,1,37593,1586556,37610,6,37594,1400000,
37610,1,37694,1586604,37698,6,37694,1400000,
37698,1,37794,1586556,37798,4,37794,1400000,
37799,1,37894,1586556,37910,6,37895,1400000,
37911,1,37994,1586556,37999,6,37995,1400000,
37999,1,38095,1586556,38099,8,38095,1400000,
38099,1,38196,1586556,38216,1,38196,1400000,
38216,1,38295,1586556,38300,9,38296,1400000,
38300,1,38396,1586556,38400,6,38396,1600000,
38400,1,38496,1586556,38512,2,38496,1400000,
38513,1,38596,1586556,38600,8,38597,1400000,
38601,1,38696,1586556,38701,9,38697,1400000,
38701,1,38797,1586556,38814,21,38797,1400000,
38814,1,38897,1586556,38901,13,38897,1400000,
38902,1,38997,1586556,39003,2,38998,1400000,
39003,1,39098,1587176,39116,21,39098,1600000,
39117,1,39198,1586680,39202,35,39198,1600000,
39203,1,39298,1587620,39304,29,39299,1600000,
39304,1,39399,1588860,39416,25,39399,1600000,
39417,1,39499,1590596,39503,37,39499,1600000,
39504,1,39599,1590596,39604,7,39600,1400000,
39604,1,39699,1590700,39719,4,39700,1400000,
39719,1,39800,1586612,39805,11,39800,1400000,
39807,1,39900,1586612,39904,7,39900,1400000,
39905,1,40000,1586612,40017,4,40000,1400000,
40017,1,40100,1586612,40106,7,40101,1400000,
40106,1,40200,1586612,40205,7,40201,1400000,
40205,1,40301,1586612,40317,1,40301,1400000,
40318,1,40401,1586736,40407,8,40401,1400000,
40407,1,40501,1586736,40506,8,40502,1400000,
40506,1,40601,1586736,40618,2,40602,1400000,
40618,1,40702,1586656,40707,8,40702,1400000,
40707,1,40802,1586656,40808,4,40802,1400000,
40808,1,40902,1586680,40920,4,40903,1400000,
40920,1,41002,1586680,41008,6,41003,1400000,
41009,1,41103,1586828,41107,10,41103,1400000,
41107,1,41203,1586828,41223,6,41203,1400000,
41223,1,41303,1586828,41307,8,41303,1400000,
41308,1,41403,1586952,41420,6,41404,1400000,
41420,1,41504,1586852,41509,4,41504,1400000,
41510,1,41604,1586852,41610,3,41604,1400000,
41610,1,41704,1586804,41722,4,41704,1400000,
41722,1,41804,1586804,41810,8,41805,1400000,
41810,1,41905,1587024,41909,21,41905,1400000,
41909,1,42005,1586652,42020,26,42005,1600000,
42021,1,42105,1588264,42111,32,42106,1600000,
42111,1,42206,1589380,42210,35,42206,1600000,
42211,1,42306,1591116,42322,29,42306,1600000,
42322,1,42406,1591116,42410,13,42406,1400000,
42411,1,42507,1588512,42517,10,42510,1400000,
42517,1,42606,1586652,42624,4,42607,1400000,
42625,1,42707,1586704,42711,4,42707,1400000,
42711,1,42807,1586704,42811,6,42807,1400000,
42812,1,42907,1586680,42924,2,42908,1400000,
42924,1,43007,1586680,43012,6,43008,1400000,
43012,1,43108,1586556,43112,12,43108,1400000,
43112,1,43208,1586556,43224,0,43208,1400000,
43225,1,43308,1586556,43312,8,43308,1400000,
43313,1,43410,1586556,43423,7,43413,1400000,
43423,1,43510,1586556,43528,4,43510,1400000,
43528,1,43610,1586556,43614,13,43611,1400000,
43615,1,43710,1586556,43715,6,43711,1400000,
43715,1,43811,1586556,43827,8,43811,1400000,
43827,1,43911,1586556,43917,6,43911,1400000,
43917,1,44011,1586556,44016,1,44012,1400000,
44016,1,44112,1586556,44129,8,44112,1400000,
44129,1,44212,1586556,44218,1,44213,1400000,
44218,1,44313,1586556,44318,9,44313,1400000,
44318,1,44413,1586556,44430,3,44413,1400000,
44431,1,44513,1586556,44519,7,44514,1400000,
44519,1,44613,1586556,44618,7,44614,1400000,
44618,1,44714,1586560,44732,5,44714,1400000,
44733,1,44814,1587304,44821,34,44815,1600000,
44821,1,44915,1587056,44920,24,44915,1400000,
44920,1,45015,1588792,45032,34,45015,1600000,
45032,1,45115,1590280,45121,40,45115,1600000,
45121,1,45216,1591104,45220,16,45216,1400000,
45221,1,45316,1591104,45337,2,45318,1400000,
45337,1,45416,1586764,45422,12,45417,1400000,
45422,1,45517,1586764,45521,7,45517,1400000,
45521,1,45617,1586764,45634,0,45617,1400000,
45634,1,45718,1586644,45724,7,45718,1400000,
45724,1,45818,1586644,45823,4,45819,1400000,
45823,1,45918,1586644,45935,3,45919,1400000,
45936,1,46019,1586644,46026,6,46019,1400000,
46026,1,46119,1586644,46123,8,46119,1400000,
46124,1,46219,1586768,46235,3,46219,1400000,
46236,1,46321,1586768,46327,6,46322,1400000,
46327,1,46421,1586680,46426,5,46422,1400000,
46426,1,46522,1586680,46539,2,46522,1400000,
46539,1,46622,1586680,46628,8,46622,1400000,
46628,1,46722,1586680,46727,4,46723,1400000,
46727,1,46824,1586680,46844,3,46825,1400000,
46844,1,46875,1586680,46880,14,46875,1400000,
46880,1,46975,1586680,46979,8,46975,1400000,
46980,1,47075,1586556,47092,1,47075,1400000,
47092,1,47175,1586556,47181,8,47176,1400000,
47182,1,47275,1586556,47280,10,47276,1400000,
47280,1,47376,1586556,47394,2,47376,1400000,
47394,1,47476,1586544,47482,15,47476,1400000,
47482,1,47576,1585924,47581,31,47577,1600000,
47581,1,47676,1587180,47695,31,47677,1600000,
47695,1,47776,1589132,47781,30,47777,1600000,
47781,1,47877,1590868,47895,29,47877,1600000,
47896,1,47977,1590992,47983,12,47978,1400000,
47983,1,48077,1590992,48083,6,48078,1400000,
48083,1,48178,1586652,48197,6,48178,1400000,
48197,1,48278,1586652,48284,6,48278,1400000,
48284,1,48378,1586652,48384,6,48379,1400000,
48384,1,48478,1586652,48496,6,48479,1400000,
48496,1,48579,1586652,48584,8,48579,1400000,
48585,1,48679,1586612,48683,2,48679,1400000,
48684,1,48779,1586580,48796,4,48780,1400000,
48796,1,48880,1586556,48886,7,48880,1400000,
48886,1,48980,1586556,48985,7,48980,1400000,
48985,1,49080,1586556,49097,7,49080,1400000,
49097,1,49180,1586556,49186,4,49181,1400000,
49186,1,49280,1586680,49285,9,49281,1400000,
49285,1,49381,1586680,49398,1,49382,1400000,
49398,1,49481,1586680,49487,9,49481,1400000,
49487,1,49581,1586680,49586,6,49582,1400000,
49586,1,49681,1586704,49698,6,49682,1400000,
49699,1,49782,1586680,49791,6,49782,1400000,
49792,1,49882,1586680,49887,8,49882,1400000,
49887,1,49982,1586680,50003,0,49983,1400000,
50003,1,50082,1586680,50087,8,50083,1400000,
50087,1,50183,1586680,50187,6,50183,1400000,
50187,1,50283,1587536,50301,25,50284,1600000,
50301,1,50383,1587040,50388,35,50384,1600000,
50388,1,50484,1589024,50488,33,50484,1600000,
50488,1,50584,1590264,50601,30,50584,1600000,
50601,1,50684,1591436,50688,22,50684,1400000,
50689,1,50784,1591436,50789,6,50785,1400000,
50789,1,50884,1586848,50904,9,50885,1400000,
50905,1,50985,1586744,50989,4,50985,1400000,
50989,1,51085,1586744,51089,15,51085,1400000,
51089,1,51185,1586744,51202,2,51185,1400000,
51202,1,51285,1586744,51290,4,51286,1400000,
51290,1,51386,1586744,51391,7,51387,1400000,
51391,1,51487,1586744,51506,4,51487,1400000,
51507,1,51587,1586744,51593,8,51587,1400000,
51594,1,51687,1586744,51692,2,51688,1400000,
51692,1,51787,1586680,51804,3,51788,1400000,
51804,1,51888,1586680,51893,9,51888,1400000,
51894,1,51988,1586680,51993,4,51988,1400000,
51993,1,52088,1586680,52105,4,52089,1400000,
52105,1,52188,1586680,52194,8,52189,1400000,
52194,1,52289,1586680,52293,6,52289,1400000,
52293,1,52389,1586680,52406,8,52389,1400000,
52406,1,52489,1586680,52495,6,52490,1400000,
52496,1,52591,1586680,52595,9,52591,1400000,
52596,1,52691,1586728,52708,2,52691,1400000,
52708,1,52791,1586704,52797,4,52791,1400000,
52797,1,52891,1586704,52896,8,52892,1400000,
52896,1,52992,1587016,53010,10,52992,1400000,
53011,1,53092,1587512,53099,29,53093,1600000,
53099,1,53192,1587388,53198,36,53193,1600000,
53198,1,53293,1589412,53310,30,53293,1600000,
53310,1,53393,1590776,53399,32,53393,1600000,
53399,1,53493,1591520,53498,17,53494,1400000,
53499,1,53593,1591520,53610,4,53594,1400000,
53611,1,53694,1587440,53699,11,53694,1400000,
53700,1,53794,1587440,53798,4,53794,1400000,
53799,1,53894,1587440,53911,6,53895,1400000,
53912,1,53994,1587440,54000,6,53995,1400000,
54000,1,54095,1587440,54099,6,54095,1400000,
54099,1,54195,1587564,54212,8,54195,1400000,
54212,1,54295,1587564,54301,4,54295,1400000,
54301,1,54395,1587564,54401,7,54396,1400000,
54401,1,54495,1587440,54517,4,54496,1400000,
54517,1,54596,1587316,54601,8,54596,1400000,
54602,1,54696,1587300,54700,9,54696,1400000,
54701,1,54796,1587300,54814,6,54797,1400000,
54814,1,54896,1587300,54903,7,54897,1400000,
54903,1,54997,1587300,55001,4,54997,1400000,
55001,1,55097,1587300,55114,2,55097,1400000,
55114,1,55197,1587300,55203,10,55198,1400000,
55203,1,55297,1587300,55302,4,55298,1400000,
