App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 02:02:10 PM","20 min 3 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
12644,1,12741,1635236,12746,3,12741,1400000,
12746,1,12843,1635188,12848,5,12843,1400000,
12848,1,12942,1635220,12944,2,12942,1400000,
12945,1,13042,1635096,13044,4,13042,1400000,
13045,1,13142,1635096,13151,2,13142,1400000,
13152,1,13242,1635096,13245,6,13243,1400000,
13245,1,13343,1635096,13345,4,13343,1400000,
13346,1,13443,1635096,13446,2,13443,1400000,
13446,1,13543,1635096,13551,5,13544,1400000,
13555,1,13643,1635096,13647,2,13644,1400000,
13647,1,13744,1635096,13747,14,13744,1400000,
13747,1,13844,1635096,13847,0,13844,1400000,
13847,1,13944,1635096,13949,1,13945,1400000,
13949,1,14044,1635096,14047,7,14045,1600000,
14047,1,14144,1635096,14148,2,14145,1400000,
14148,1,14245,1635096,14248,1,14245,1400000,
14248,1,14345,1635096,14351,3,14345,1400000,
14351,1,14445,1635096,14448,5,14446,1400000,
14448,1,14545,1635096,14548,0,14546,1400000,
14548,1,14646,1635096,14649,4,14646,1400000,
14649,1,14746,1635096,14752,2,14746,1400000,
14753,1,14846,1635096,14849,7,14846,1600000,
14849,1,14946,1635064,14949,4,14947,1400000,
14949,1,15046,1635064,15049,2,15047,1400000,
15049,1,15147,1635064,15151,3,15147,1400000,
15152,1,15247,1635064,15250,2,15247,1600000,
15250,1,15347,1635064,15350,4,15348,1400000,
15350,1,15447,1635064,15450,2,15448,1400000,
15450,1,15548,1635064,15552,2,15548,1400000,
15552,1,15648,1635188,15652,1,15649,1400000,
15652,1,15748,1635188,15751,2,15749,1400000,
15752,1,15849,1635188,15852,2,15849,1400000,
15852,1,15949,1635188,15956,1,15949,1400000,
15957,1,16049,1635188,16051,4,16049,1600000,
16052,1,16149,1635188,16152,2,16150,1400000,
16152,1,16249,1635188,16252,5,16250,1400000,
16252,1,16350,1635188,16354,2,16350,1400000,
16354,1,16450,1635188,16453,4,16450,1400000,
16453,1,16550,1635188,16555,0,16552,1400000,
