App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 06:11:06 PM","15 min 34 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
12624,1,12720,1635724,12723,7,12720,1400000,
12723,1,12820,1635700,12823,5,12820,1400000,
12823,1,12920,1635700,12923,2,12921,1400000,
12923,1,13020,1635700,13025,1,13021,1400000,
13025,1,13121,1635700,13124,4,13121,1400000,
13124,1,13221,1635700,13224,1,13221,1400000,
13224,1,13321,1635576,13324,0,13322,1400000,
13324,1,13421,1635576,13427,2,13422,1400000,
13427,1,13522,1635576,13525,8,13522,1400000,
13525,1,13622,1635576,13625,1,13622,1400000,
13625,1,13723,1635576,13726,0,13724,1400000,
13726,1,13824,1635576,13828,3,13824,1400000,
13828,1,13924,1635576,13927,8,13924,1400000,
13927,1,14024,1635576,14029,0,14025,1400000,
14029,1,14124,1635576,14127,2,14125,1400000,
14127,1,14225,1635504,14231,4,14225,1400000,
14231,1,14325,1635504,14328,8,14325,1400000,
14328,1,14425,1635504,14428,0,14426,1400000,
14428,1,14525,1635504,14528,2,14526,1400000,
14528,1,14626,1635504,14630,2,14626,1400000,
14630,1,14726,1635520,14729,8,14726,1400000,
14729,1,14826,1635512,14829,1,14827,1400000,
14829,1,14926,1635512,14929,0,14927,1400000,
14930,1,15027,1635512,15031,1,15027,1400000,
15032,1,15127,1635512,15130,5,15127,1400000,
15130,1,15227,1635512,15231,2,15228,1400000,
15231,1,15327,1635512,15330,4,15328,1400000,
15331,1,15427,1635512,15432,0,15428,1400000,
15433,1,15528,1635512,15531,6,15528,1400000,
15531,1,15628,1635512,15631,5,15628,1400000,
15631,1,15728,1635512,15731,1,15729,1400000,
15731,1,15828,1635544,15834,1,15829,1400000,
15834,1,15929,1635544,15932,6,15929,1400000,
15932,1,16029,1635544,16032,4,16029,1400000,
16032,1,16130,1635544,16139,3,16130,1400000,
16140,1,16229,1635544,16234,0,16230,1400000,
16234,1,16330,1635420,16333,6,16330,1400000,
16333,1,16430,1635420,16433,4,16430,1400000,
16433,1,16530,1635544,16533,2,16531,1400000,
16533,1,16630,1635544,16635,4,16631,1400000,
16635,1,16731,1635544,16734,6,16731,1400000,
16734,1,16831,1635544,16834,6,16831,1400000,
16834,1,16931,1635544,16934,2,16932,1400000,
16934,1,17031,1635544,17036,2,17032,1400000,
17036,1,17134,1635544,17136,5,17134,1400000,
17137,1,17232,1635544,17236,2,17232,1400000,
17236,1,17332,1635544,17335,2,17333,1400000,
17335,1,17432,1635544,17437,3,17433,1400000,
17437,1,17533,1635544,17536,4,17533,1400000,
17536,1,17633,1635544,17636,2,17633,1400000,
17636,1,17733,1635544,17736,2,17734,1400000,
17736,1,17834,1635544,17839,2,17834,1400000,
17840,1,17934,1635544,17937,10,17934,1400000,
17937,1,18034,1635544,18037,1,18035,1400000,
18037,1,18134,1635668,18138,0,18135,1400000,
18138,1,18235,1635544,18239,2,18235,1400000,
18240,1,18335,1635544,18338,6,18336,1400000,
18338,1,18435,1635544,18438,3,18436,1400000,
18439,1,18535,1635544,18538,2,18536,1400000,
18539,1,18636,1635544,18640,2,18636,1400000,
18641,1,18736,1635544,18739,6,18736,1400000,
18739,1,18836,1635536,18839,2,18837,1400000,
18839,1,18936,1635536,18939,2,18937,1400000,
18940,1,19037,1635536,19041,1,19037,1400000,
19042,1,19137,1635536,19140,3,19138,1400000,
19140,1,19237,1635536,19240,2,19238,1400000,
19240,1,19337,1635536,19340,1,19338,1400000,
19341,1,19437,1635536,19443,0,19438,1400000,
19444,1,19538,1635536,19541,6,19538,1400000,
19541,1,19638,1635536,19641,2,19638,1400000,
19641,1,19738,1635536,19741,1,19739,1400000,
19741,1,19838,1635536,19844,0,19839,1400000,
19845,1,19939,1635536,19942,10,19939,1400000,
19942,1,20039,1635536,20042,0,20039,1400000,
20042,1,20139,1635536,20142,2,20140,1400000,
20143,1,20239,1635536,20244,2,20240,1400000,
20244,1,20340,1635536,20343,8,20340,1400000,
20343,1,20440,1635536,20443,2,20440,1400000,
20443,1,20540,1635536,20543,0,20541,1400000,
20543,1,20640,1635536,20645,1,20641,1400000,
20646,1,20742,1635536,20745,8,20742,1400000,
20745,1,20841,1635536,20844,2,20841,1400000,
20844,1,20941,1635536,20944,2,20941,1400000,
20944,1,21041,1635536,21046,1,21042,1400000,
21046,1,21142,1635536,21145,6,21142,1400000,
21145,1,21242,1635536,21244,7,21242,1400000,
21245,1,21342,1635536,21345,2,21342,1400000,
21345,1,21442,1635536,21448,1,21442,1400000,
21448,1,21542,1635536,21545,9,21543,1400000,
21545,1,21642,1635536,21645,3,21643,1400000,
21645,1,21743,1635544,21745,6,21743,1400000,
21746,1,21843,1635536,21847,2,21843,1400000,
21848,1,21943,1635536,21947,4,21944,1400000,
21947,1,22043,1635536,22046,2,22044,1400000,
22047,1,22144,1635536,22147,0,22144,1400000,
22147,1,22244,1635536,22250,6,22244,1400000,
22250,1,22344,1635536,22347,7,22345,1400000,
22347,1,22444,1635536,22447,2,22445,1400000,
22448,1,22544,1635536,22547,3,22545,1400000,
22548,1,22645,1635536,22649,2,22645,1400000,
22650,1,22745,1635536,22748,10,22745,1400000,
22748,1,22845,1635412,22848,1,22846,1400000,
22848,1,22945,1635412,22949,0,22946,1400000,
22949,1,23046,1635412,23050,1,23046,1400000,
23051,1,23146,1635412,23149,6,23146,1400000,
23149,1,23246,1635412,23249,0,23247,1400000,
23249,1,23346,1635412,23349,0,23347,1400000,
23350,1,23446,1635412,23451,2,23447,1400000,
23452,1,23547,1635412,23550,7,23547,1400000,
23550,1,23647,1635412,23650,2,23647,1600000,
23650,1,23747,1635412,23750,0,23748,1400000,
23750,1,23847,1635412,23853,2,23848,1400000,
23853,1,23948,1635288,23951,8,23948,1400000,
23951,1,24048,1635288,24051,0,24048,1400000,
24051,1,24148,1635288,24151,7,24148,1400000,
24151,1,24248,1635288,24255,2,24249,1400000,
24256,1,24349,1635288,24351,8,24349,1400000,
24352,1,24449,1635288,24452,4,24449,1400000,
24452,1,24549,1635288,24552,0,24550,1400000,
24552,1,24650,1635288,24654,2,24650,1400000,
24654,1,24751,1635380,24755,8,24751,1400000,
24755,1,24850,1635412,24853,5,24851,1400000,
24853,1,24950,1635288,24953,2,24951,1400000,
24953,1,25051,1635288,25056,4,25051,1400000,
25057,1,25151,1635288,25154,6,25151,1400000,
25154,1,25251,1635288,25254,2,25252,1400000,
25255,1,25352,1635288,25355,3,25352,1400000,
25355,1,25452,1635288,25459,2,25452,1400000,
25459,1,25552,1635288,25555,8,25552,1400000,
25555,1,25652,1635288,25655,0,25653,1400000,
25656,1,25752,1635264,25756,4,25753,1400000,
25756,1,25853,1635288,25859,4,25853,1400000,
25860,1,25953,1635288,25956,9,25953,1400000,
25956,1,26053,1635164,26056,2,26054,1400000,
26056,1,26153,1635164,26156,2,26154,1400000,
26156,1,26254,1635164,26258,0,26254,1400000,
26258,1,26354,1635164,26357,6,26354,1400000,
26357,1,26454,1635164,26457,0,26455,1400000,
26457,1,26554,1635164,26557,4,26555,1400000,
26557,1,26656,1635288,26662,1,26656,1400000,
26662,1,26755,1635288,26758,9,26755,1400000,
26758,1,26855,1635412,26858,1,26856,1400000,
26858,1,26956,1635412,26959,2,26956,1400000,
26959,1,27056,1635412,27061,0,27056,1400000,
27061,1,27156,1635412,27159,9,27157,1400000,
27159,1,27256,1635412,27259,2,27257,1400000,
27260,1,27357,1635412,27360,2,27357,1400000,
27360,1,27457,1635412,27462,1,27457,1400000,
27462,1,27557,1635412,27560,4,27558,1400000,
27561,1,27657,1635412,27660,4,27658,1400000,
27661,1,27758,1635412,27761,2,27758,1400000,
27761,1,27858,1635412,27863,3,27858,1400000,
27863,1,27958,1635412,27961,3,27959,1400000,
27961,1,28058,1635412,28061,2,28059,1400000,
28062,1,28159,1635412,28162,3,28159,1400000,
28162,1,28259,1635412,28264,0,28259,1400000,
28264,1,28359,1635412,28362,2,28360,1400000,
