App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 06:11:05 PM","15 min 34 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
13429,1,13514,1623596,13513,0,13515,5,
13515,1,13614,1623016,13614,0,13615,6,
13615,1,13714,1623016,13714,0,13715,0,
13715,1,13817,1623016,13816,0,13822,2,
13823,1,13934,1623016,13918,0,13949,2,
13952,1,14016,1623016,14016,0,14018,5,
14018,1,14117,1623016,14116,0,14119,5,
14119,1,14220,1617196,14218,0,14230,4,
14231,1,14322,1617148,14319,0,14340,1,
14346,1,14418,1617148,14418,0,14420,5,
14420,1,14518,1617108,14518,0,14520,2,
14520,1,14620,1617068,14619,0,14633,3,
14636,1,14724,1617068,14721,0,14735,1,
14736,1,14845,1617068,14840,0,14876,1,
14876,1,14921,1617068,14921,0,14923,10,
14923,1,15021,1617068,15021,0,15023,2,
15023,1,15125,1617180,15123,0,15133,3,
15133,1,15235,1617180,15226,0,15250,1,
15252,1,15324,1617180,15324,0,15326,5,
15326,1,15425,1617304,15424,0,15426,2,
15426,1,15525,1617428,15524,0,15527,0,
15527,1,15629,1617428,15626,0,15636,0,
15637,1,15734,1617552,15731,0,15749,1,
15750,1,15826,1617676,15826,0,15828,6,
15828,1,15927,1617676,15926,0,15928,2,
15928,1,16030,1617800,16028,0,16042,4,
16043,1,16132,1617924,16129,0,16156,1,
16156,1,16228,1617924,16227,0,16229,4,
16230,1,16328,1618048,16328,0,16330,2,
16330,1,16430,1618172,16429,0,16443,1,
16444,1,16536,1618296,16533,0,16546,1,
16547,1,16639,1618296,16636,0,16655,1,
16657,1,16731,1618420,16731,0,16733,9,
16733,1,16831,1618544,16831,0,16833,5,
16833,1,16935,1618668,16933,0,16944,3,
16945,1,17037,1618668,17034,0,17047,1,
17048,1,17156,1618792,17153,0,17177,1,
17185,1,17237,1624500,17237,0,17242,21,
17242,1,17338,1626740,17337,0,17341,28,
17341,1,17438,1617932,17438,0,17441,5,
17441,1,17539,1617932,17538,0,17543,2,
17543,1,17640,1617128,17639,0,17645,2,
17646,1,17739,1616328,17739,0,17741,1,
17741,1,17840,1616288,17840,0,17844,4,
17845,1,17939,1616412,17939,0,17942,2,
17943,1,18045,1616536,18042,0,18057,2,
18058,1,18147,1616660,18144,0,18157,1,
18158,1,18247,1616628,18244,0,18258,1,
18259,1,18361,1616752,18348,0,18380,1,
18381,1,18443,1616876,18443,0,18445,0,
18445,1,18543,1616996,18543,0,18560,4,
18560,1,18645,1616328,18644,0,18649,3,
18649,1,18748,1616328,18746,0,18760,1,
18763,1,18855,1616328,18847,0,18878,1,
18879,1,18953,1616328,18949,0,18963,0,
18964,1,19049,1616328,19047,0,19059,1,
19060,1,19153,1616328,19151,0,19163,1,
19164,1,19273,1616312,19254,0,19296,1,
19298,1,19348,1616312,19347,0,19350,12,
19350,1,19448,1616312,19448,0,19450,0,
19450,1,19548,1616312,19548,0,19550,0,
19550,1,19652,1616312,19650,0,19661,3,
19662,1,19769,1616312,19761,0,19798,1,
19800,1,19806,1616312,19806,0,19808,3,
19808,1,19901,1616312,19901,0,19905,2,
19905,1,20000,1616312,20000,0,20008,0,
20008,1,20113,1616436,20110,0,20125,1,
20126,1,20202,1616436,20201,0,20203,7,
20203,1,20302,1616436,20301,0,20303,2,
20303,1,20405,1616436,20403,0,20413,3,
20414,1,20511,1616436,20507,0,20523,1,
20524,1,20631,1616436,20624,0,20651,1,
20666,1,20706,1616436,20706,0,20708,7,
20708,1,20807,1616436,20806,0,20808,2,
20809,1,20907,1616436,20907,0,20908,0,
20909,1,21007,1616436,21007,0,21009,0,
21009,1,21107,1616560,21107,0,21109,0,
21109,1,21208,1616560,21207,0,21209,0,
21210,1,21309,1616560,21308,0,21332,0,
21333,1,21413,1616560,21410,0,21427,2,
21428,1,21514,1616560,21511,0,21527,2,
21528,1,21614,1616684,21612,0,21625,1,
21626,1,21742,1616684,21728,0,21751,1,
21759,1,21811,1616684,21811,0,21813,8,
21813,1,21911,1616684,21911,0,21913,4,
21913,1,22015,1616684,22013,0,22023,3,
22023,1,22133,1616684,22129,0,22152,3,
22159,1,22213,1617584,22213,0,22215,25,
22216,1,22313,1617752,22313,0,22316,5,
22316,1,22414,1618008,22413,0,22418,0,
22418,1,22516,1617796,22515,0,22530,0,
22530,1,22628,1617620,22619,0,22654,2,
22655,1,22720,1617580,22717,0,22730,1,
22733,1,22819,1617640,22817,0,22830,1,
22833,1,22922,1617640,22919,0,22935,1,
22936,1,23040,1617640,23036,0,23060,1,
23062,1,23124,1617640,23120,0,23138,1,
23139,1,23223,1617764,23221,0,23235,1,
23236,1,23344,1617712,23335,0,23355,1,
23357,1,23427,1617712,23424,0,23438,1,
23439,1,23535,1617904,23534,0,23537,1,
23541,1,23622,1613464,23621,0,23623,9,
23623,1,23722,1613464,23722,0,23724,0,
23724,1,23822,1613464,23822,0,23824,0,
23824,1,23928,1613464,23925,0,23941,1,
23942,1,24028,1613464,24026,0,24044,1,
24045,1,24129,1613464,24126,0,24172,1,
24175,1,24234,1613440,24229,0,24245,2,
24246,1,24330,1613440,24328,0,24348,1,
24348,1,24426,1613564,24426,0,24428,5,
24428,1,24527,1613564,24526,0,24528,2,
24528,1,24632,1613688,24629,0,24644,3,
24645,1,24734,1613812,24730,0,24747,1,
24747,1,24846,1613812,24834,0,24866,1,
24867,1,24929,1613936,24929,0,24931,3,
24931,1,25030,1614060,25029,0,25032,2,
25032,1,25137,1614060,25134,0,25152,4,
25153,1,25236,1614308,25234,0,25249,1,
25250,1,25359,1614432,25346,0,25370,1,
25373,1,25433,1614432,25432,0,25434,7,
25435,1,25533,1614556,25533,0,25535,2,
25535,1,25633,1614680,25633,0,25635,0,
25635,1,25734,1614804,25733,0,25735,0,
25735,1,25851,1614804,25841,0,25875,4,
25876,1,25940,1614928,25937,0,25953,0,
25954,1,26039,1615052,26037,0,26047,2,
26047,1,26137,1615052,26136,0,26140,2,
26140,1,26237,1615176,26236,0,26238,5,
26238,1,26342,1615300,26339,0,26355,2,
26356,1,26444,1615300,26440,0,26455,1,
26456,1,26548,1615424,26546,0,26560,1,
26560,1,26646,1615548,26643,0,26666,1,
26669,1,26741,1615672,26741,0,26743,7,
26743,1,26842,1615672,26841,0,26843,4,
26843,1,26945,1615796,26942,0,26952,2,
26954,1,27047,1615920,27045,0,27062,1,
27063,1,27152,1615920,27147,0,27169,1,
27176,1,27245,1616044,27244,0,27246,5,
27246,1,27345,1616168,27344,0,27346,2,
27347,1,27456,1616292,27455,0,27462,4,
27463,1,27550,1616416,27549,0,27564,2,
27565,1,27656,1616416,27650,0,27679,1,
27685,1,27747,1616540,27746,0,27748,5,
27749,1,27847,1616664,27846,0,27848,2,
27849,1,27947,1616664,27947,0,27949,0,
27949,1,28047,1616788,28047,0,28049,0,
28049,1,28154,1616912,28149,0,28164,4,
28165,1,28268,1617036,28250,0,28279,1,
28283,1,28353,1617036,28351,0,28367,1,
28374,1,28455,1617160,28453,0,28469,2,
28470,1,28554,1617284,28552,0,28575,1,
28575,1,28651,1617408,28650,0,28653,8,
28653,1,28751,1617408,28750,0,28753,2,
28753,1,28854,1617532,28851,0,28863,2,
28866,1,28970,1617656,28956,0,28994,1,
28995,1,29055,1616716,29054,0,29056,8,
29056,1,29155,1616716,29155,0,29156,0,
29156,1,29258,1616688,29256,0,29263,2,
29264,1,29356,1616688,29355,0,29357,8,
29357,1,29457,1617712,29457,0,29462,11,
29462,1,29557,1618792,29556,0,29559,33,
29559,1,29657,1619896,29657,0,29660,24,
29660,1,29757,1621320,29757,0,29761,32,
29761,1,29857,1623436,29857,0,29860,34,
29860,1,29959,1628028,29958,0,29962,40,
29962,1,30060,1630164,30059,0,30067,45,
30068,1,30160,1630164,30160,0,30164,18,
30164,1,30260,1630520,30260,0,30265,20,
30265,1,30361,1630128,30360,0,30366,14,
30366,1,30462,1630484,30461,0,30466,13,
30466,1,30562,1630484,30562,0,30566,10,
30566,1,30663,1630508,30662,0,30667,15,
30667,1,30763,1630608,30762,0,30766,11,
30767,1,30863,1630608,30862,0,30867,14,
30867,1,30963,1628496,30963,42,30967,15,
30968,1,31063,1641660,31063,0,31067,22,
31067,1,31164,1653828,31163,0,31170,28,
31170,1,31264,1668224,31264,0,31269,24,
31269,1,31364,1673608,31364,0,31368,39,
31368,1,31466,1690540,31465,0,31471,29,
31471,1,31566,1702756,31565,0,31573,40,
31573,1,31665,1724592,31665,0,31671,28,
31671,1,31766,1730688,31765,0,31772,16,
31772,1,31867,1730556,31866,0,31871,11,
31871,1,31967,1730820,31966,0,31972,19,
31973,1,32067,1731044,32066,0,32072,24,
32073,1,32167,1731128,32167,34,32175,14,
32175,1,32271,1730944,32268,34,32284,15,
32285,1,32370,1730944,32368,34,32383,18,
32383,1,32469,1737832,32468,34,32474,23,
32474,1,32569,1722760,32568,0,32578,30,
32578,1,32669,1751740,32668,0,32675,28,
32675,1,32769,1752076,32769,0,32774,28,
32774,1,32870,1759592,32869,0,32875,14,
32876,1,32970,1759204,32969,0,32974,13,
32974,1,33070,1759160,33070,0,33074,8,
33074,1,33171,1759008,33170,0,33175,10,
33175,1,33271,1758952,33271,0,33275,10,
33275,1,33372,1758960,33371,0,33375,13,
33375,1,33473,1758960,33471,0,33477,2,
33478,1,33572,1758960,33571,0,33575,3,
33575,1,33672,1759068,33672,0,33676,2,
33676,1,33773,1759192,33772,0,33776,3,
33776,1,33873,1759316,33872,0,33876,5,
33876,1,33973,1759316,33972,0,33976,0,
33976,1,34074,1757160,34073,0,34077,3,
34078,1,34174,1757284,34173,0,34177,4,
34177,1,34275,1757392,34274,0,34277,3,
34277,1,34375,1757392,34374,0,34377,2,
34377,1,34477,1757772,34476,0,34480,10,
34480,1,34577,1757888,34577,0,34579,17,
34580,1,34677,1758096,34677,0,34679,22,
34680,1,34777,1757972,34777,0,34780,26,
34780,1,34878,1757880,34877,0,34881,23,
34881,1,34978,1757912,34978,0,34982,18,
34982,1,35079,1758036,35078,0,35082,21,
35082,1,35179,1758256,35179,0,35182,22,
35182,1,35280,1760204,35279,0,35283,24,
35283,1,35380,1760916,35380,0,35383,19,
35383,1,35481,1761136,35481,56,35486,17,
35486,1,35583,1767220,35582,56,35587,19,
35587,1,35682,1784092,35682,56,35684,18,
35685,1,35783,1784340,35782,56,35787,14,
35787,1,35884,1785084,35884,56,35887,20,
35887,1,35984,1785324,35984,56,35987,21,
35987,1,36085,1785696,36084,56,36089,17,
36089,1,36185,1785944,36185,56,36190,16,
36190,1,36288,1786124,36287,56,36292,9,
36292,1,36389,1785620,36388,0,36392,8,
